,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,8.35,8.37,8.77,8.44,9.01,9.22,9.07,10.18,10.12,10.29,9.29,9.58,10.9,10.66,10.41,11.1
1,6.25,6.35,6.01,5.82,6.7,8.29,8.97,9.34,9.28,10.52,9.68,9.3,9.89,9.89,10.66,10.82
2,6.99,7.09,6.63,5.3,5.38,5.27,5.96,7.76,9.01,9.6,9.4,9.58,8.01,9.72,8.18,8.73
3,6.79,6.09,5.58,5.33,5.46,5.39,6.62,7.02,7.6,7.69,6.87,6.57,6.25,6.26,5.51,6.87
4,3.32,2.96,5.56,6.15,6.72,6.63,5.79,7.76,7.81,7.78,7.61,6.85,6.41,5.78,5.47,4.75
5,6.08,5.43,5.58,5.29,5.1,6.06,5.82,6.86,7.39,6.83,7.48,6.75,7.09,7.07,6.81,6.95
6,4.23,4.4,5.34,4.67,4.97,4.93,4.79,6.53,6.04,5.94,6.11,6.03,6.83,5.85,5.81,5.73
7,5.48,5.79,5.47,5.46,5.88,6.0,6.42,6.27,7.24,7.72,9.38,9.77,9.07,8.37,8.32,7.96
8,7.17,7.31,6.24,7.46,5.96,5.66,6.84,8.43,8.88,9.74,8.45,6.4,6.07,5.16,6.98,8.54
9,3.88,2.65,3.85,3.73,4.42,8.13,10.16,13.27,13.65,11.93,11.07,8.07,5.67,7.12,8.06,9.34
10,2.65,2.6,3.19,2.97,4.12,3.3,4.27,5.14,5.44,6.12,6.46,6.2,5.43,5.68,4.48,3.72
11,6.0,6.0,6.0,6.0,6.98,5.42,5.63,5.19,5.02,4.85,4.06,4.52,5.01,5.92,5.82,5.07
12,3.11,2.75,2.58,3.04,2.87,2.71,3.88,3.75,4.06,4.07,4.08,3.97,3.89,4.37,4.73,5.06
13,6.0,6.0,4.69,4.0,3.91,3.09,4.16,4.0,4.8,4.98,4.81,5.07,4.55,4.51,4.05,3.57
14,4.33,4.23,3.99,3.65,3.12,3.48,3.82,4.47,4.78,4.96,4.89,4.03,4.84,5.06,5.29,4.82
15,4.77,4.11,4.12,3.64,3.25,3.74,3.84,3.84,3.41,3.54,4.32,4.0,4.27,4.72,4.34,3.66
16,4.83,4.31,4.38,4.19,4.01,4.93,4.67,5.33,5.37,4.72,5.58,4.74,4.48,5.69,5.14,4.79
17,4.79,4.37,3.94,2.76,3.55,2.95,2.4,3.0,2.69,3.52,3.82,4.0,3.85,3.53,2.89,2.42
18,6.0,6.0,6.0,6.0,6.0,6.0,5.07,4.32,4.38,3.51,3.85,3.77,3.15,4.27,4.39,4.13
19,2.77,2.17,4.28,4.37,4.0,4.49,3.65,3.96,3.55,4.15,4.5,4.07,4.96,5.37,4.54,5.37
20,4.79,4.78,6.12,6.08,5.84,5.34,6.1,5.82,6.26,5.5,4.89,4.08,5.3,5.14,3.62,5.46
21,7.12,6.5,5.42,5.39,5.29,5.95,5.58,6.08,5.97,6.38,6.75,6.93,6.37,5.82,5.52,5.35
