,Name,Buy,Price,Sell,Last Rd %,L5 %,L10 %,Valuation
0,Rory_Laird,11.54,11.09,10.64,0.27,1.74,8.94,Fair Value
1,Ben_Keays,11.47,11.02,10.57,4.26,11.43,17.99,Overpriced
2,Paul_Seedsman,9.61,9.06,8.51,-6.89,13.11,16.75,Fair Value
3,Brodie_Smith,8.01,7.38,6.75,5.88,18.08,5.13,Fair Value
4,Lachlan_Sholl,5.47,4.71,3.95,-0.84,-31.24,-18.65,Very Underpriced
5,Tom_Doedee,6.24,5.52,4.8,-12.8,-22.14,-19.53,Very Underpriced
6,Rory_Sloane,8.64,8.04,7.44,-3.6,-11.36,28.23,Fair Value
7,Harry_Schoenberg,6.05,5.32,4.59,-4.83,-22.11,-18.53,Underpriced
8,Reilly_OBrien,9.62,9.07,8.52,1.57,49.42,7.59,Overpriced
9,Taylor_Walker,9.8,9.26,8.72,3.12,63.32,-30.22,Fair Value
10,Jake_Kelly,5.1,4.32,3.54,13.39,-20.44,-15.95,Underpriced
11,James_Rowe,5.31,4.54,3.77,-7.91,-9.38,-12.52,Fair Value
12,Ned_McHenry,5.51,4.75,3.99,7.47,22.11,26.67,Overpriced
13,Jordon_Butts,4.18,3.35,2.52,-16.67,-26.37,-16.25,Very Underpriced
14,David_Mackay,5.44,4.67,3.9,-15.7,4.24,-12.38,Fair Value
15,Andrew_McPherson,4.89,4.09,3.29,11.75,2.25,6.51,Fair Value
16,Luke_Brown,5.55,4.79,4.03,-0.62,18.86,25.39,Fair Value
17,Will_Hamill,3.38,2.5,1.62,-11.35,-35.06,-16.67,Very Underpriced
18,Sam_Berry,4.11,3.27,2.43,-28.13,3.81,-24.31,Inconclusive
19,Shane_McAdam,4.55,3.74,2.93,-15.58,-29.43,-35.74,Very Underpriced
20,Riley_Thilthorpe,6.8,6.11,5.42,-17.43,-10.67,1.83,Inconclusive
21,Lachlan_Murphy,6.1,5.37,4.64,18.28,19.33,19.6,Very Overpriced
22,Chayce_Jones,4.9,4.11,3.32,3.79,28.04,52.22,Overpriced
23,Darcy_Fogarty,5.29,4.52,3.75,-9.96,-1.74,-1.74,Fair Value
24,Tom_Lynch,6.08,5.35,4.62,-3.08,-20.74,-10.08,Underpriced
25,Billy_Frampton,3.99,3.15,2.31,-3.08,-44.05,-35.58,Very Underpriced
26,Nick_Murray,5.09,4.31,3.53,-10.4,-28.17,-28.17,Inconclusive
27,Jackson_Hately,4.63,3.82,3.01,-7.28,-11.37,-24.51,Underpriced
28,Elliott_Himmelberg,4.92,4.13,3.34,-9.63,-31.62,-4.62,Very Underpriced
29,Ronin_OConnor,4.51,3.69,2.87,-21.66,-38.5,-38.5,Inconclusive
30,Mitch_Hinge,5.2,4.42,3.64,-19.78,-26.33,-26.33,Inconclusive
31,Josh_Worrell,5.08,4.3,3.51,-28.33,-28.33,-28.33,Inconclusive
32,Jarryd_Lyons,10.59,10.09,9.59,-5.26,-12.64,-1.08,Fair Value
33,Daniel_Rich,8.05,7.42,6.79,0.0,-8.73,-15.59,Underpriced
34,Hugh_McCluggage,8.08,7.45,6.82,-15.63,-27.6,-16.01,Very Underpriced
35,Dayne_Zorko,11.31,10.85,10.39,-8.67,24.57,42.2,Overpriced
36,Mitch_Robinson,7.24,6.57,5.9,-5.06,-15.23,16.28,Underpriced
37,Zac_Bailey,9.05,8.47,7.89,-13.84,2.17,30.51,Overpriced
38,Grant_Birchall,6.18,5.45,4.72,2.64,-12.24,5.01,Fair Value
39,Lachie_Neale,9.75,9.21,8.67,-17.1,10.17,11.64,Fair Value
40,Harris_Andrews,6.79,6.09,5.39,-9.51,-11.09,-18.36,Underpriced
41,Joe_Daniher,8.39,7.78,7.17,20.06,-12.29,17.52,Fair Value
42,Lincoln_McCarthy,7.95,7.32,6.69,18.45,7.81,23.44,Overpriced
43,Brandon_Starcevich,5.05,4.26,3.47,-18.7,-18.7,1.19,Underpriced
44,Marcus_Adams,6.03,5.3,4.57,-0.56,-6.19,11.58,Fair Value
45,Deven_Robertson,6.26,5.54,4.82,2.97,13.99,13.06,Inconclusive
46,Eric_Hipwood,6.24,5.52,4.8,-17.37,-10.82,-26.89,Very Underpriced
47,Oscar_McInerney,9.39,8.83,8.27,24.37,28.72,27.42,Very Overpriced
48,Charlie_Cameron,7.79,7.15,6.51,27.22,-11.4,50.21,Overpriced
49,Callum_Ah Chee,3.74,2.88,2.02,-19.55,-32.24,-7.1,Very Underpriced
